GEOID,NAME,STATE_ami,FIP_ami,AMI150,TEN-YBL6_ami,TEN-BLD_ami,TEN-HFL_ami,UNITS_ami,FREQUENCY_ami,HINCP*UNITS_ami,ELEP*UNITS_ami,GASP*UNITS_ami,FULP*UNITS_ami,HINCP UNITS_ami,ELEP UNITS_ami,GASP UNITS_ami,FULP UNITS_ami,TEN_ami,WHITE ALONE HISPANIC OR LATINO_ami,WHITE ALONE NOT HISPANIC OR LATINO_ami,BLACK OR AFRICAN AMERICAN ALONE_ami,AMERICAN INDIAN AND ALASKA NATIVE ALONE_ami,ASIAN ALONE_ami,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE_ami,SOME OTHER RACE ALONE_ami,TWO OR MORE RACES_ami,LESS THAN HIGH SCHOOL_ami,HIGH SCHOOL_ami,ASSOCIATES OR SOME COLLEGE_ami,BACHELORS OR HIGHER_ami,STATE_fpl,FIP_fpl,FPL150,TEN-YBL6_fpl,TEN-BLD_fpl,TEN-HFL_fpl,UNITS_fpl,FREQUENCY_fpl,HINCP*UNITS_fpl,ELEP*UNITS_fpl,GASP*UNITS_fpl,FULP*UNITS_fpl,HINCP UNITS_fpl,ELEP UNITS_fpl,GASP UNITS_fpl,FULP UNITS_fpl,TEN_fpl,WHITE ALONE HISPANIC OR LATINO_fpl,WHITE ALONE NOT HISPANIC OR LATINO_fpl,BLACK OR AFRICAN AMERICAN ALONE_fpl,AMERICAN INDIAN AND ALASKA NATIVE ALONE_fpl,ASIAN ALONE_fpl,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE_fpl,SOME OTHER RACE ALONE_fpl,TWO OR MORE RACES_fpl,LESS THAN HIGH SCHOOL_fpl,HIGH SCHOOL_fpl,ASSOCIATES OR SOME COLLEGE_fpl,BACHELORS OR HIGHER_fpl,estimated_housing,estimated_pop,poverty_indicator,tract_area,building_density,energy_burden_index,energy_burden_category
37119003702,"Census Tract 37.02, Mecklenburg County, North Carolina",37,37119003702,0-30%,OWNER 1940-59,OWNER 1 ATTACHED,OWNER ELECTRICITY,0.0726,0,0,0,0,0,0,0,0,0,OWN,0,0,0,0,0,0,0,0,0,0,0,0,37,37119003702,0-100%,OWNER 1940-59,OWNER 1 ATTACHED,OWNER ELECTRICITY,0.0726,0,0,0,0,0,0,0,0,0,OWN,0,0,0,0,0,0,0,0,0,0,0,0,1600,4000,100,1.9304457598775029,828.8241157842883,0.1609704203536735,Moderate
37119005527,"Census Tract 55.27, Mecklenburg County, North Carolina",37,37119005527,0-30%,OWNER 1960-79,OWNER 1 ATTACHED,OWNER UTILITY GAS,0.003429,0,0,0,0,0,0,0,0,0,OWN,0,0,0,0,0,0,0,0,0,0,0,0,37,37119005527,0-100%,OWNER 1960-79,OWNER 1 DETACHED,OWNER ELECTRICITY,0.0081494,1,166.92524874,11.28990968636709,8.283238573017007e-13,7.532467532467533e-14,0.0058,0.0058,0.0058,0.0058,OWN,0,0,0,0,0.00567152505890928,0,0,0,3.7818024541234e-4,0,0,0,1600,4000,100,2.0930218814235926,764.4449464196437,0.08672158699060348,Moderate
37119005623,"Census Tract 56.23, Mecklenburg County, North Carolina",37,37119005623,0-30%,OWNER 1940-59,OWNER 1 DETACHED,OWNER UTILITY GAS,0.1294335,0.045,3746.424958731,186.35999641383347,61.54034496022776,3.9222272727272736e-12,0.1294335,0.1294335,0.1294335,0.1294335,OWN,0,0,0,0,0,0,0.1512160103777735,0,0,0,0,0,37,37119005623,100-150%,OWNER 1940-59,OWNER 1 DETACHED,OWNER UTILITY GAS,2.8867533,1.8891666666666669,83856.24865898915,4291.672153343539,1358.8918953440184,8.94560323737374e-11,2.8867533,2.8867533,2.8867533,2.8867533,OWN,0,0.18116181532521897,0,0,0,0,3.2074595979018845,0,0,0,0.08258372514210728,0,1600,4000,100,2.5101107394636983,637.4220765821075,-0.059774554369144764,Moderate
37119005916,"Census Tract 59.16, Mecklenburg County, North Carolina",37,37119005916,0-30%,OWNER 1960-79,OWNER 1 DETACHED,OWNER ELECTRICITY,2.267745,8.879999999999999,18949.39511666197,1673.2278273898276,45.46063343281045,6.614246486408329e-11,1.485648,1.485648,1.485648,1.485648,OWN,0,0.07983493208906774,0.11171618797388964,0,0.32713003079147895,0,0,0.3575387901794318,0,0.7542429347046072,0.4871191197978196,0,37,37119005916,0-100%,OWNER 1960-79,OWNER 1 DETACHED,OWNER ELECTRICITY,1.5094262,5.042,2898.9826046301805,690.6730810956753,15.63167625920888,3.4525243811451705e-11,0.4613852,0.4613852,0.4613852,0.4613852,OWN,0,0.06769533415257499,0.07395611643871484,0,0,0,0,0,0,0.16425987876501175,0.06822505885327206,0,1600,4000,100,5.053089169506126,316.63799041099827,-0.4297365217989935,Moderate
37119003111,"Census Tract 31.11, Mecklenburg County, North Carolina",37,37119003111,0-30%,OWNER 1940-59,OWNER 1 DETACHED,OWNER ELECTRICITY,0.178966,0.045,945.2073498318,34.17431426084778,9.672979159517078,2.260499999999999e-12,0.027126,0.027126,0.027126,0.027126,OWN,0,0,0.00453688605826073,0,0,0,0,0,0,0,0.01394022422879132,0,37,37119003111,0-100%,OWNER 1960-79,OWNER 1 DETACHED,OWNER UTILITY GAS,0.0348975,0.275,1200.4657955977502,50.24586351177828,53.925093672125335,3.1725000000000005e-12,0.0348975,0.0348975,0.0348975,0.0348975,OWN,0,0.1091497596464005,0,0,0,0,0,0,0,0,0,0.01824460678555055,1600,4000,100,1.9097415818189307,837.8096886156096,0.17133352858276002,Moderate
37119005855,"Census Tract 58.55, Mecklenburg County, North Carolina",37,37119005855,0-30%,OWNER 1980-99,OWNER 1 ATTACHED,OWNER ELECTRICITY,2e-4,1,0.5211555000000001,0.1498539456948078,1.3745891597463568e-13,1.2500000000000002e-14,2e-4,2e-4,2e-4,2e-4,OWN,0,0,1.3849981606577186e-5,0,0,0,0,0,0,0,2.3787020127579163e-5,0,37,37119005855,0-100%,OWNER 1980-99,OWNER 1 ATTACHED,OWNER ELECTRICITY,2e-4,1,0.5211555000000001,0.1498539456948078,1.3745891597463568e-13,1.2500000000000002e-14,2e-4,2e-4,2e-4,2e-4,OWN,0,0,1.3849981606577186e-5,0,0,0,0,0,0,0,2.3787020127579163e-5,0,1600,4000,100,3.7792437072540372,423.3651290941872,-0.3066475535253952,Moderate
37119005828,"Census Tract 58.28, Mecklenburg County, North Carolina",37,37119005828,0-30%,OWNER 1960-79,OWNER 1 DETACHED,OWNER ELECTRICITY,0.165292,3,2836.2855178957907,220.35725579088628,51.17023636400182,1.608322368421053e-11,0.1573,0.1573,0.1573,0.1573,OWN,0,0.22535532791503585,0.13773227136755312,0,0,0,0,0,0,0.03587570809842738,0,0,37,37119005828,0-100%,OWNER 1960-79,OWNER 1 DETACHED,OWNER ELECTRICITY,0.1186412,2.324,1877.6210128470136,149.6181289677871,33.874696472971785,1.0881581578947367e-11,0.1078844,0.1078844,0.1078844,0.1078844,OWN,0,0.1547973253853221,0.09117876364532015,0,0,0,0,0,0,0.02460539887332472,0,0,1600,4000,100,3.196575978710186,500.5355763968413,-0.2176464722925111,Moderate
37119005723,"Census Tract 57.23, Mecklenburg County, North Carolina",37,37119005723,0-30%,OWNER 1940-59,OWNER 1 DETACHED,OWNER ELECTRICITY,3.4722285,0.96,64030.838639616,4947.346160535136,4.3611903108805576e-10,3.9659034482758626e-11,3.450336,3.450336,3.450336,3.450336,OWN,0,1.9395155323775244,0,0,0,0,0,0,0,0,0,0,37,37119005723,0-100%,OWNER 1960-79,OWNER 1 ATTACHED,OWNER ELECTRICITY,0.4941,0,0,0,0,0,0,0,0,0,OWN,0,0,0,0,0,0,0,0,0,0,0,0,1600,4000,100,2.9968444270225763,533.8949147886303,-0.17917297252855716,Moderate
37119001921,"Census Tract 19.21, Mecklenburg County, North Carolina",37,37119001921,0-30%,OWNER 1940-59,OWNER 1 DETACHED,OWNER ELECTRICITY,0.082964,5.31,1262.0272644461836,99.82020057449198,10.12356065668638,4.559334000006375,0.082964,0.082964,0.082964,0.082964,OWN,0,0.08349140076806803,0.01461878834650557,0,0,0,0,0.03649759555172954,0.00365917219060599,0.04046490964024238,0.03206001399135725,0.00389422849017921,37,37119001921,0-100%,OWNER 1940-59,OWNER 1 DETACHED,OWNER ELECTRICITY,0.033234,2.718,329.536934155,34.56375634597691,2.9476062571933026,3.273601812001385,0.033234,0.033234,0.033234,0.033234,OWN,0,0.04400988870686453,0,0,0,0,0,0,0.00469124639821281,0,0.00514716900697862,0.00389422849017921,1600,4000,100,2.5534991119299235,626.5911715123829,-0.07226589393797818,Moderate
37119005865,"Census Tract 58.65, Mecklenburg County, North Carolina",37,37119005865,0-30%,OWNER 1960-79,OWNER 1 ATTACHED,OWNER ELECTRICITY,0.3099,0,0,0,0,0,0,0,0,0,OWN,0,0,0,0,0,0,0,0,0,0,0,0,37,37119005865,0-100%,OWNER 1960-79,OWNER 1 ATTACHED,OWNER ELECTRICITY,0.3099,0,0,0,0,0,0,0,0,0,OWN,0,0,0,0,0,0,0,0,0,0,0,0,1600,4000,100,2.3189657648710758,689.9627516014464,8.208814339844626e-4,Moderate
